"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Diploma in Journalism and Mass Communication","African College of Commerce and Technology",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Nursing – Extension","Aga Khan University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Midwifery Science – Completion","Aga Khan University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Certificate in Christian Ministry","All Nations Theological College and Seminary (ANTS)",Wakiso,10/Jul/2024,10/Jul/2029,Active
"Master of Kiswahili Studies","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Nursing Science – Completion","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Diploma in Education –  Early Childhood Development","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Diploma in Agriculture and Community Development","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Nursing Science – Direct","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Education","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Counselling Psychology","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Public Health","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Diploma in Social Work","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Diploma in Development Studies","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Pharmacy","Busitema University, Mbale Campus",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Information Technology","Clarke International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Medicine and Bachelor of Surgery","Fins Medical University (FMU)",Kabarole,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Computer Science","Team University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Health Promotion and Education","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Public Health","St. Francis School of Health Sciences",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business Administration and Management","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Diploma in Secretarial Studies","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Diploma in Public Administration","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Diploma in Stores and logistics Management","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Diploma in Records and Information Management","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Diploma in Medical Records and Information Management","Rukungiri Institute of Management",Rukungiri,10/Jul/2024,10/Jul/2029,Active
"Masters in Higher Education Management & Administration","Uganda Management Institute",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Software Engineering","Mountains of the Moon University",Kabarole,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Gender Studies","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Adult and Community  Education","Makerere University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Education","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Information Technology","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Social Work","Islamic University in Uganda",Mbale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Information Technology","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Computer Science","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business Administration","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Computer Science","Insan International University  (formerly Islamic Call University College)",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Education","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Conflict Resolution and Peace Building","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Environmental Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in English","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Environmental Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Mass Communication","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Project Planning and Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Mass Communication","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Social Work and Social Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Public Administration and Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Information Technology","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Guidance and Counselling","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Development Studies","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Public Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Education in Early Childhood Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Development Studies","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts with Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Computer Science","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Education in Early Childhood and Primary Education (for Kenyan student teachers)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Human Resource Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of International Business Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Business Computing (BBC)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Primary Education","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Human Resource Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Master of Educational Management and Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science with  Education (BSc/Ed)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Human Resource Management","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Computer Science with Education (BCE)","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Information Technology","Livingstone International University",Mbale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Human Resource Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts with Education","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Human Resource Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Political Science","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Public Administration","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Business Administration","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Administrative and Secretarial Studies","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Public Administration","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Computer Science and Information Technology","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Law","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Political Science","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Leisure, Tourism and Hotel Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Computer Science and Information Technology","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Science Laboratory Technology – Physics","Busitema University, Nagongera Campus",Tororo,10/Jul/2024,10/Jul/2029,Active
"Diploma in Science Laboratory Technology- Chemistry","Busitema University, Nagongera Campus",Tororo,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Development Studies","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Food Security and Community Nutrition","Gulu University",Gulu,10/Jul/2024,10/Jul/2029,Active
"Master of Social Work","Bishop Stuart University",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Public Administration and Management","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Social Work and Social Administration","Bugema University",Luwero,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Agribusiness Management","Bukalasa Agricultural College",Luwero,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Human Nutrition and Dietetics","Bukalasa Agricultural College",Luwero,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Horticulture and Management","Bukalasa Agricultural College",Luwero,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Agriculture","Bukalasa Agricultural College",Luwero,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Animal Husbandry","Bukalasa Agricultural College",Luwero,10/Jul/2024,10/Jul/2029,Active
"Diploma in Tourism and Hotel Management","African College of Commerce and Technology",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Nursing Science – Extension","Aga Khan University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Postgraduate Diploma in Human Resource Management","Uganda Management Institute",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Information Technology","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Information Technology","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Master of Public Health","Mountains of the Moon University",Kabarole,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Banking and Development Finance","Mountains of the Moon University",Kabarole,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Business Administration","Mbarara University of Science and Technology",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Master of Business Administration","Mbarara University of Science and Technology",Mbarara,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Procurement and Supply Chain Management","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Diploma in Library and Information Science","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Arts in Economics","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Computer Science","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Master of Arts in Education Management and Administration","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Medical Records Management","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Science in Environmental Sciences","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Tourism and Hospitality Management","Kabale University",Kabale,10/Jul/2024,10/Jul/2029,Active
"Diploma in Business Management","Limkokwing University of Creative Technology",Mukono,10/Jul/2024,10/Jul/2029,Active
"Diploma in Tourism Management","Limkokwing University of Creative Technology",Mukono,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Business Administration","Livingstone International University",Mbale,10/Jul/2024,10/Jul/2029,Active
"Master of Science in Physics","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Social Work and Social Administration","Kampala International University",Kampala,10/Jul/2024,10/Jul/2029,Active
"Bachelor of Journalism and Mass communication","Kampala University",Kampala,10/Jul/2024,10/Jul/2029,Active
"National Diploma in Crop Production and Management","St. Isabel Technical Institute",Moyo,23/Jan/2025,23/Jan/2030,Active
"National Diploma in Agribusiness Management","St. Isabel Technical Institute",Moyo,30/Jan/2025,30/Jan/2030,Active
"National Diploma in Animal Production and Management","St. Isabel Technical Institute",Moyo,30/Jan/2025,30/Jan/2030,Active
"National Diploma in Mechanical Engineering","Uganda Martyrs Polytechnic College – Soroti (UMPCS).",Soroti,30/Jan/2025,30/Jan/2030,Active
"National Diploma in Fashion and Design","Uganda Martyrs Polytechnic College – Soroti (UMPCS).",Soroti,30/Jan/2025,30/Jan/2030,Active
"National Diploma in Civil Engineering","Uganda Martyrs Polytechnic College – Soroti (UMPCS).",Soroti,30/Jan/2025,30/Jan/2030,Active
"National Diploma in Electrical Engineering","Uganda Martyrs Polytechnic College – Soroti (UMPCS).",Soroti,30/Jan/2025,30/Jan/2030,Active
